Population Year	 Area	 Variable	 Data
1997	Summit	Deaths	39
1997	Summit	Group Quarters Population (July)	77
1997	Summit	Household Population (July)	20272
1997	Summit	Housing Vacancy Rate	63.4
1997	Summit	July Population	20349
1997	Summit	Natural Population Increase	202
1997	Summit	Net Building Permits	927
1997	Summit	Net Migration	751
1997	Summit	Population (U.S. Census Bureau)	18463
1997	Summit	Total Households	7777
1997	Summit	Total Housing Units	21224
1997	Summit	Vacant Housing Units	13447
1997	Teller	Average Household Size	2.53
1997	Teller	Births	236
1997	Teller	Deaths	65
1997	Teller	Group Quarters Population (July)	128
1997	Teller	Household Population (July)	18938
1997	Teller	Housing Vacancy Rate	18.4
1997	Teller	July Population	19066
1997	Teller	Natural Population Increase	171
1997	Teller	Net Building Permits	368
1997	Teller	Net Migration	760
1997	Teller	Population (U.S. Census Bureau)	19833
1997	Teller	Total Households	7498
1997	Teller	Total Housing Units	9189
1997	Teller	Vacant Housing Units	1691
1997	Washington	Average Household Size	2.4
1997	Washington	Births	61
1997	Washington	Deaths	52
1997	Washington	Group Quarters Population (July)	38
1997	Washington	Household Population (July)	5172
1997	Washington	Housing Vacancy Rate	7.9
1997	Washington	July Population	5210
1997	Washington	Natural Population Increase	9
1997	Washington	Net Building Permits	11
1997	Washington	Net Migration	-20
1997	Washington	Population (U.S. Census Bureau)	4595
1997	Washington	Total Households	2157
1997	Washington	Total Housing Units	2341
1997	Washington	Vacant Housing Units	184
1997	Weld	Average Household Size	2.85
1997	Weld	Births	2487
1997	Weld	Deaths	1005
1997	Weld	Group Quarters Population (July)	4729
1997	Weld	Household Population (July)	162111
1997	Weld	Housing Vacancy Rate	1.7
1997	Weld	July Population	166840
1997	Weld	Natural Population Increase	1482
1997	Weld	Net Building Permits	2114
1997	Weld	Net Migration	3549
1997	Weld	Population (U.S. Census Bureau)	155535
1997	Weld	Total Households	56803
1997	Weld	Total Housing Units	57764
1997	Weld	Vacant Housing Units	961
1997	Yuma	Average Household Size	2.52
1997	Yuma	Births	128
1997	Yuma	Deaths	114
1997	Yuma	Group Quarters Population (July)	130
1997	Yuma	Household Population (July)	9527
1997	Yuma	Housing Vacancy Rate	8.7
1997	Yuma	July Population	9657
1997	Yuma	Natural Population Increase	14
1997	Yuma	Net Building Permits	10
1997	Yuma	Net Migration	122
1997	Yuma	Population (U.S. Census Bureau)	9369
1997	Yuma	Total Households	3780
1997	Yuma	Total Housing Units	4140
1997	Yuma	Vacant Housing Units	360
1996	Adams	Average Household Size	2.87
1996	Adams	Births	5251
1996	Adams	Deaths	1844
1996	Adams	Group Quarters Population (July)	3774
1996	Adams	Household Population (July)	319268
1996	Adams	Housing Vacancy Rate	5.5
1996	Adams	July Population	323042
1996	Adams	Natural Population Increase	3407
1996	Adams	Net Building Permits	2764
1996	Adams	Net Migration	7042
1996	Adams	Population (U.S. Census Bureau)	309225
1996	Adams	Total Households	111208
1996	Adams	Total Housing Units	117691
1996	Adams	Vacant Housing Units	6483
1996	Alamosa	Average Household Size	2.51
1996	Alamosa	Births	236
1996	Alamosa	Deaths	119
1996	Alamosa	Group Quarters Population (July)	795
1996	Alamosa	Household Population (July)	13527
1996	Alamosa	Housing Vacancy Rate	4.6
1996	Alamosa	July Population	14322
1996	Alamosa	Natural Population Increase	117
1996	Alamosa	Net Building Permits	68
1996	Alamosa	Net Migration	108
1996	Alamosa	Population (U.S. Census Bureau)	14215
1996	Alamosa	Total Households	5391
1996	Alamosa	Total Housing Units	5651
1996	Alamosa	Vacant Housing Units	260
1996	Arapahoe	Average Household Size	2.52
1996	Arapahoe	Births	6343
1996	Arapahoe	Deaths	2281
1996	Arapahoe	Group Quarters Population (July)	3190
1996	Arapahoe	Household Population (July)	447875
1996	Arapahoe	Housing Vacancy Rate	3
1996	Arapahoe	July Population	451065
1996	Arapahoe	Natural Population Increase	4062
1996	Arapahoe	Net Building Permits	3585
1996	Arapahoe	Net Migration	4464
1996	Arapahoe	Population (U.S. Census Bureau)	454394
1996	Arapahoe	Total Households	177697
1996	Arapahoe	Total Housing Units	183260
1996	Arapahoe	Vacant Housing Units	5563
1996	Archuleta	Average Household Size	2.65
1996	Archuleta	Births	77
1996	Archuleta	Deaths	36
1996	Archuleta	Group Quarters Population (July)	0
1996	Archuleta	Household Population (July)	7928
1996	Archuleta	Housing Vacancy Rate	36.9
1996	Archuleta	July Population	7928
1996	Archuleta	Natural Population Increase	41
1996	Archuleta	Net Building Permits	249
1996	Archuleta	Net Migration	779
1996	Archuleta	Population (U.S. Census Bureau)	7916
1996	Archuleta	Total Households	2987
1996	Archuleta	Total Housing Units	4731
1996	Archuleta	Vacant Housing Units	1744
1996	Baca	Average Household Size	2.4
1996	Baca	Births	58
1996	Baca	Deaths	58
1996	Baca	Group Quarters Population (July)	74
1996	Baca	Household Population (July)	4452
1996	Baca	Housing Vacancy Rate	24.5
1996	Baca	July Population	4526
1996	Baca	Natural Population Increase	0
1996	Baca	Net Building Permits	5
1996	Baca	Net Migration	98
1996	Baca	Population (U.S. Census Bureau)	4454
1996	Baca	Total Households	1855
1996	Baca	Total Housing Units	2456
1996	Baca	Vacant Housing Units	601
1996	Bent	Average Household Size	2.44
1996	Bent	Births	70
1996	Bent	Deaths	73
1996	Bent	Group Quarters Population (July)	1072
1996	Bent	Household Population (July)	4551
1996	Bent	Housing Vacancy Rate	21.4
1996	Bent	July Population	5623
1996	Bent	Natural Population Increase	-3
1996	Bent	Net Building Permits	52
1996	Bent	Net Migration	77
1996	Bent	Population (U.S. Census Bureau)	5492
1996	Bent	Total Households	1865
1996	Bent	Total Housing Units	2373
1996	Bent	Vacant Housing Units	508
1996	Boulder	Average Household Size	2.47
1996	Boulder	Births	3199
1996	Boulder	Deaths	1242
1996	Boulder	Group Quarters Population (July)	9561
1996	Boulder	Household Population (July)	252204
1996	Boulder	Housing Vacancy Rate	5.3
1996	Boulder	July Population	261765
1996	Boulder	Natural Population Increase	1957
1996	Boulder	Net Building Permits	2588
1996	Boulder	Net Migration	2308
1996	Boulder	Population (U.S. Census Bureau)	256725
1996	Boulder	Total Households	102053
1996	Boulder	Total Housing Units	107800
1996	Boulder	Vacant Housing Units	5747
1996	Broomfield	Average Household Size	0
1996	Broomfield	Births	0
1996	Broomfield	Deaths	0
1996	Broomfield	Group Quarters Population (July)	0
1996	Broomfield	Household Population (July)	0
1996	Broomfield	Housing Vacancy Rate	0
1996	Broomfield	July Population	0
1996	Broomfield	Natural Population Increase	0
1996	Broomfield	Net Building Permits	0
1996	Broomfield	Net Migration	0
1996	Broomfield	Population (U.S. Census Bureau)	0
1996	Broomfield	Total Households	0
1996	Broomfield	Total Housing Units	0
1996	Broomfield	Vacant Housing Units	0
1996	Chaffee	Average Household Size	2.33
1996	Chaffee	Births	111
1996	Chaffee	Deaths	139
1996	Chaffee	Group Quarters Population (July)	1291
1996	Chaffee	Household Population (July)	13834
1996	Chaffee	Housing Vacancy Rate	18.5
1996	Chaffee	July Population	15125
1996	Chaffee	Natural Population Increase	-28
1996	Chaffee	Net Building Permits	253
1996	Chaffee	Net Migration	497
1996	Chaffee	Population (U.S. Census Bureau)	14710
1996	Chaffee	Total Households	5932
1996	Chaffee	Total Housing Units	7280
1996	Chaffee	Vacant Housing Units	1348
1996	Cheyenne	Average Household Size	2.51
1996	Cheyenne	Births	33
1996	Cheyenne	Deaths	21
1996	Cheyenne	Group Quarters Population (July)	45
1996	Cheyenne	Household Population (July)	2239
1996	Cheyenne	Housing Vacancy Rate	19
1996	Cheyenne	July Population	2284
1996	Cheyenne	Natural Population Increase	12
1996	Cheyenne	Net Building Permits	2
1996	Cheyenne	Net Migration	3
1996	Cheyenne	Population (U.S. Census Bureau)	2311
1996	Cheyenne	Total Households	893
1996	Cheyenne	Total Housing Units	1103
1996	Cheyenne	Vacant Housing Units	210
1996	Clear Creek	Average Household Size	2.4
1996	Clear Creek	Births	122
1996	Clear Creek	Deaths	50
1996	Clear Creek	Group Quarters Population (July)	50
1996	Clear Creek	Household Population (July)	8666
1996	Clear Creek	Housing Vacancy Rate	30
1996	Clear Creek	July Population	8716
1996	Clear Creek	Natural Population Increase	72
1996	Clear Creek	Net Building Permits	93
1996	Clear Creek	Net Migration	-40
1996	Clear Creek	Population (U.S. Census Bureau)	8719
1996	Clear Creek	Total Households	3606
1996	Clear Creek	Total Housing Units	5154
1996	Clear Creek	Vacant Housing Units	1548
1996	Conejos	Average Household Size	3.05
1996	Conejos	Births	132
1996	Conejos	Deaths	70
1996	Conejos	Group Quarters Population (July)	31
1996	Conejos	Household Population (July)	7988
1996	Conejos	Housing Vacancy Rate	27.1
1996	Conejos	July Population	8019
1996	Conejos	Natural Population Increase	62
1996	Conejos	Net Building Permits	168
1996	Conejos	Net Migration	51
1996	Conejos	Population (U.S. Census Bureau)	7824
1996	Conejos	Total Households	2615
1996	Conejos	Total Housing Units	3586
1996	Conejos	Vacant Housing Units	971
1996	Costilla	Average Household Size	2.77
1996	Costilla	Births	42
1996	Costilla	Deaths	39
1996	Costilla	Group Quarters Population (July)	2
1996	Costilla	Household Population (July)	3579
1996	Costilla	Housing Vacancy Rate	39.5
1996	Costilla	July Population	3581
1996	Costilla	Natural Population Increase	3
1996	Costilla	Net Building Permits	0
1996	Costilla	Net Migration	67
1996	Costilla	Population (U.S. Census Bureau)	3574
1996	Costilla	Total Households	1290
1996	Costilla	Total Housing Units	2133
1996	Costilla	Vacant Housing Units	843
1996	Crowley	Average Household Size	2.36
1996	Crowley	Births	48
1996	Crowley	Deaths	49
1996	Crowley	Group Quarters Population (July)	1140
1996	Crowley	Household Population (July)	3126
1996	Crowley	Housing Vacancy Rate	6.7
1996	Crowley	July Population	4266
1996	Crowley	Natural Population Increase	-1
1996	Crowley	Net Building Permits	2
1996	Crowley	Net Migration	46
1996	Crowley	Population (U.S. Census Bureau)	4336
1996	Crowley	Total Households	1324
1996	Crowley	Total Housing Units	1419
1996	Crowley	Vacant Housing Units	95
1996	Custer	Average Household Size	2.41
1996	Custer	Births	35
1996	Custer	Deaths	24
1996	Custer	Group Quarters Population (July)	1
1996	Custer	Household Population (July)	2847
1996	Custer	Housing Vacancy Rate	53.5
1996	Custer	July Population	2848
1996	Custer	Natural Population Increase	11
1996	Custer	Net Building Permits	81
1996	Custer	Net Migration	219
1996	Custer	Population (U.S. Census Bureau)	3047
1996	Custer	Total Households	1182
1996	Custer	Total Housing Units	2542
1996	Custer	Vacant Housing Units	1360
1996	Delta	Average Household Size	2.47
1996	Delta	Births	300
1996	Delta	Deaths	319
1996	Delta	Group Quarters Population (July)	877
1996	Delta	Household Population (July)	24841
1996	Delta	Housing Vacancy Rate	4.8
1996	Delta	July Population	25718
1996	Delta	Natural Population Increase	-19
1996	Delta	Net Building Permits	59
1996	Delta	Net Migration	544
1996	Delta	Population (U.S. Census Bureau)	25527
1996	Delta	Total Households	10050
1996	Delta	Total Housing Units	10557
1996	Delta	Vacant Housing Units	507
1996	Denver	Average Household Size	2.25
1996	Denver	Births	8349
1996	Denver	Deaths	4731
1996	Denver	Group Quarters Population (July)	11005
1996	Denver	Household Population (July)	507250
1996	Denver	Housing Vacancy Rate	7.3
1996	Denver	July Population	518255
1996	Denver	Natural Population Increase	3618
1996	Denver	Net Building Permits	1432
1996	Denver	Net Migration	6914
1996	Denver	Population (U.S. Census Bureau)	495805
1996	Denver	Total Households	225615
1996	Denver	Total Housing Units	243430
1996	Denver	Vacant Housing Units	17815
1996	Dolores	Average Household Size	2.52
1996	Dolores	Births	23
1996	Dolores	Deaths	14
1996	Dolores	Group Quarters Population (July)	0
1996	Dolores	Household Population (July)	1636
1996	Dolores	Housing Vacancy Rate	34.2
1996	Dolores	July Population	1636
1996	Dolores	Natural Population Increase	9
1996	Dolores	Net Building Permits	6
1996	Dolores	Net Migration	61
1996	Dolores	Population (U.S. Census Bureau)	1669
1996	Dolores	Total Households	649
1996	Dolores	Total Housing Units	987
1996	Dolores	Vacant Housing Units	338
1996	Douglas	Average Household Size	2.9
1996	Douglas	Births	1981
1996	Douglas	Deaths	251
1996	Douglas	Group Quarters Population (July)	395
1996	Douglas	Household Population (July)	114318
1996	Douglas	Housing Vacancy Rate	4.1
1996	Douglas	July Population	114713
1996	Douglas	Natural Population Increase	1730
1996	Douglas	Net Building Permits	5732
1996	Douglas	Net Migration	9144
1996	Douglas	Population (U.S. Census Bureau)	111960
1996	Douglas	Total Households	39371
1996	Douglas	Total Housing Units	41059
1996	Douglas	Vacant Housing Units	1688
1996	Eagle	Average Household Size	2.75
1996	Eagle	Births	492
1996	Eagle	Deaths	75
1996	Eagle	Group Quarters Population (July)	150
1996	Eagle	Household Population (July)	32778
1996	Eagle	Housing Vacancy Rate	40.7
1996	Eagle	July Population	32928
1996	Eagle	Natural Population Increase	417
1996	Eagle	Net Building Permits	972
1996	Eagle	Net Migration	1628
1996	Eagle	Population (U.S. Census Bureau)	30253
1996	Eagle	Total Households	11906
1996	Eagle	Total Housing Units	20073
1996	Eagle	Vacant Housing Units	8167
1996	Elbert	Average Household Size	2.79
1996	Elbert	Births	182
1996	Elbert	Deaths	60
1996	Elbert	Group Quarters Population (July)	52
1996	Elbert	Household Population (July)	15754
1996	Elbert	Housing Vacancy Rate	3.1
1996	Elbert	July Population	15806
1996	Elbert	Natural Population Increase	122
1996	Elbert	Net Building Permits	418
1996	Elbert	Net Migration	1356
1996	Elbert	Population (U.S. Census Bureau)	16207
1996	Elbert	Total Households	5652
1996	Elbert	Total Housing Units	5835
1996	Elbert	Vacant Housing Units	183
1996	El Paso	Average Household Size	2.63
1996	El Paso	Births	7611
1996	El Paso	Deaths	2558
1996	El Paso	Group Quarters Population (July)	17627
1996	El Paso	Household Population (July)	459362
1996	El Paso	Housing Vacancy Rate	4.5
1996	El Paso	July Population	476989
1996	El Paso	Natural Population Increase	5053
1996	El Paso	Net Building Permits	5291
1996	El Paso	Net Migration	2243
1996	El Paso	Population (U.S. Census Bureau)	472429
1996	El Paso	Total Households	174384
1996	El Paso	Total Housing Units	182530
1996	El Paso	Vacant Housing Units	8146
1996	Fremont	Average Household Size	2.55
1996	Fremont	Births	448
1996	Fremont	Deaths	514
1996	Fremont	Group Quarters Population (July)	11970
1996	Fremont	Household Population (July)	29858
1996	Fremont	Housing Vacancy Rate	21.7
1996	Fremont	July Population	41828
1996	Fremont	Natural Population Increase	-66
1996	Fremont	Net Building Permits	241
1996	Fremont	Net Migration	1372
1996	Fremont	Population (U.S. Census Bureau)	42073
1996	Fremont	Total Households	11726
1996	Fremont	Total Housing Units	14971
1996	Fremont	Vacant Housing Units	3245
1996	Garfield	Average Household Size	2.65
1996	Garfield	Births	561
1996	Garfield	Deaths	230
1996	Garfield	Group Quarters Population (July)	837
1996	Garfield	Household Population (July)	36840
1996	Garfield	Housing Vacancy Rate	5.6
1996	Garfield	July Population	37677
1996	Garfield	Natural Population Increase	331
1996	Garfield	Net Building Permits	384
1996	Garfield	Net Migration	929
1996	Garfield	Population (U.S. Census Bureau)	36595
1996	Garfield	Total Households	13876
1996	Garfield	Total Housing Units	14695
1996	Garfield	Vacant Housing Units	819
1996	Gilpin	Average Household Size	2.34
1996	Gilpin	Births	48
1996	Gilpin	Deaths	13
1996	Gilpin	Group Quarters Population (July)	2
1996	Gilpin	Household Population (July)	3790
1996	Gilpin	Housing Vacancy Rate	39.2
1996	Gilpin	July Population	3792
1996	Gilpin	Natural Population Increase	35
1996	Gilpin	Net Building Permits	254
1996	Gilpin	Net Migration	89
1996	Gilpin	Population (U.S. Census Bureau)	3716
1996	Gilpin	Total Households	1618
1996	Gilpin	Total Housing Units	2662
1996	Gilpin	Vacant Housing Units	1044
1996	Grand	Average Household Size	2.74
1996	Grand	Births	111
1996	Grand	Deaths	44
1996	Grand	Group Quarters Population (July)	90
1996	Grand	Household Population (July)	10421
1996	Grand	Housing Vacancy Rate	64.9
1996	Grand	July Population	10511
1996	Grand	Natural Population Increase	67
1996	Grand	Net Building Permits	282
1996	Grand	Net Migration	491
1996	Grand	Population (U.S. Census Bureau)	9552
1996	Grand	Total Households	3808
1996	Grand	Total Housing Units	10847
1996	Grand	Vacant Housing Units	7039
1996	Gunnison	Average Household Size	2.29
1996	Gunnison	Births	129
1996	Gunnison	Deaths	49
1996	Gunnison	Group Quarters Population (July)	1110
1996	Gunnison	Household Population (July)	11134
1996	Gunnison	Housing Vacancy Rate	44.5
1996	Gunnison	July Population	12244
1996	Gunnison	Natural Population Increase	80
1996	Gunnison	Net Building Permits	235
1996	Gunnison	Net Migration	190
1996	Gunnison	Population (U.S. Census Bureau)	12143
1996	Gunnison	Total Households	4872
1996	Gunnison	Total Housing Units	8777
1996	Gunnison	Vacant Housing Units	3905
1996	Hinsdale	Average Household Size	2.25
1996	Hinsdale	Births	7
1996	Hinsdale	Deaths	3
1996	Hinsdale	Group Quarters Population (July)	0
1996	Hinsdale	Household Population (July)	707
1996	Hinsdale	Housing Vacancy Rate	76.8
1996	Hinsdale	July Population	707
1996	Hinsdale	Natural Population Increase	4
1996	Hinsdale	Net Building Permits	29
1996	Hinsdale	Net Migration	44
1996	Hinsdale	Population (U.S. Census Bureau)	677
1996	Hinsdale	Total Households	314
1996	Hinsdale	Total Housing Units	1354
1996	Hinsdale	Vacant Housing Units	1040
1996	Huerfano	Average Household Size	2.46
1996	Huerfano	Births	50
1996	Huerfano	Deaths	89
1996	Huerfano	Group Quarters Population (July)	140
1996	Huerfano	Household Population (July)	7249
1996	Huerfano	Housing Vacancy Rate	28.4
1996	Huerfano	July Population	7389
1996	Huerfano	Natural Population Increase	-39
1996	Huerfano	Net Building Permits	96
1996	Huerfano	Net Migration	266
1996	Huerfano	Population (U.S. Census Bureau)	6536
1996	Huerfano	Total Households	2951
1996	Huerfano	Total Housing Units	4123
1996	Huerfano	Vacant Housing Units	1172
1996	Jackson	Average Household Size	2.31
1996	Jackson	Births	12
1996	Jackson	Deaths	11
1996	Jackson	Group Quarters Population (July)	12
1996	Jackson	Household Population (July)	1582
1996	Jackson	Housing Vacancy Rate	50.3
1996	Jackson	July Population	1594
1996	Jackson	Natural Population Increase	1
1996	Jackson	Net Building Permits	25
1996	Jackson	Net Migration	-16
1996	Jackson	Population (U.S. Census Bureau)	1493
1996	Jackson	Total Households	685
1996	Jackson	Total Housing Units	1378
1996	Jackson	Vacant Housing Units	693
1996	Jefferson	Average Household Size	2.6
1996	Jefferson	Births	6229
1996	Jefferson	Deaths	2796
1996	Jefferson	Group Quarters Population (July)	7073
1996	Jefferson	Household Population (July)	490973
1996	Jefferson	Housing Vacancy Rate	4.6
1996	Jefferson	July Population	498046
1996	Jefferson	Natural Population Increase	3433
1996	Jefferson	Net Building Permits	3576
1996	Jefferson	Net Migration	3299
1996	Jefferson	Population (U.S. Census Bureau)	490338
1996	Jefferson	Total Households	188494
1996	Jefferson	Total Housing Units	197664
1996	Jefferson	Vacant Housing Units	9170
1996	Kiowa	Average Household Size	2.38
1996	Kiowa	Births	14
1996	Kiowa	Deaths	19
1996	Kiowa	Group Quarters Population (July)	47
1996	Kiowa	Household Population (July)	1615
1996	Kiowa	Housing Vacancy Rate	23.4
1996	Kiowa	July Population	1662
1996	Kiowa	Natural Population Increase	-5
1996	Kiowa	Net Building Permits	1
1996	Kiowa	Net Migration	24
1996	Kiowa	Population (U.S. Census Bureau)	1648
1996	Kiowa	Total Households	679
1996	Kiowa	Total Housing Units	886
1996	Kiowa	Vacant Housing Units	207
1996	Kit Carson	Average Household Size	2.58
1996	Kit Carson	Births	83
1996	Kit Carson	Deaths	73
1996	Kit Carson	Group Quarters Population (July)	69
1996	Kit Carson	Household Population (July)	7417
1996	Kit Carson	Housing Vacancy Rate	12.2
1996	Kit Carson	July Population	7486
1996	Kit Carson	Natural Population Increase	10
1996	Kit Carson	Net Building Permits	18
1996	Kit Carson	Net Migration	63
1996	Kit Carson	Population (U.S. Census Bureau)	7178
1996	Kit Carson	Total Households	2875
1996	Kit Carson	Total Housing Units	3275
1996	Kit Carson	Vacant Housing Units	400
1996	Lake	Average Household Size	2.4
1996	Lake	Births	128
1996	Lake	Deaths	41
1996	Lake	Group Quarters Population (July)	42
1996	Lake	Household Population (July)	7512
1996	Lake	Housing Vacancy Rate	17.8
1996	Lake	July Population	7554
1996	Lake	Natural Population Increase	87
1996	Lake	Net Building Permits	43
1996	Lake	Net Migration	324
1996	Lake	Population (U.S. Census Bureau)	6272
1996	Lake	Total Households	3126
1996	Lake	Total Housing Units	3804
1996	Lake	Vacant Housing Units	678
1996	La Plata	Average Household Size	2.51
1996	La Plata	Births	406
1996	La Plata	Deaths	250
1996	La Plata	Group Quarters Population (July)	2053
1996	La Plata	Household Population (July)	37651
1996	La Plata	Housing Vacancy Rate	22.1
1996	La Plata	July Population	39704
1996	La Plata	Natural Population Increase	156
1996	La Plata	Net Building Permits	514
1996	La Plata	Net Migration	788
1996	La Plata	Population (U.S. Census Bureau)	39431
1996	La Plata	Total Households	14979
1996	La Plata	Total Housing Units	19237
1996	La Plata	Vacant Housing Units	4258
1996	Larimer	Average Household Size	2.61
1996	Larimer	Births	2821
1996	Larimer	Deaths	1246
1996	Larimer	Group Quarters Population (July)	7998
1996	Larimer	Household Population (July)	219250
1996	Larimer	Housing Vacancy Rate	7.7
1996	Larimer	July Population	227248
1996	Larimer	Natural Population Increase	1575
1996	Larimer	Net Building Permits	3491
1996	Larimer	Net Migration	4051
1996	Larimer	Population (U.S. Census Bureau)	221355
1996	Larimer	Total Households	83997
1996	Larimer	Total Housing Units	91020
1996	Larimer	Vacant Housing Units	7023
1996	Las Animas	Average Household Size	2.36
1996	Las Animas	Births	156
1996	Las Animas	Deaths	179
1996	Las Animas	Group Quarters Population (July)	404
1996	Las Animas	Household Population (July)	14563
1996	Las Animas	Housing Vacancy Rate	15.6
1996	Las Animas	July Population	14967
1996	Las Animas	Natural Population Increase	-23
1996	Las Animas	Net Building Permits	83
1996	Las Animas	Net Migration	81
1996	Las Animas	Population (U.S. Census Bureau)	14400
1996	Las Animas	Total Households	6171
1996	Las Animas	Total Housing Units	7314
1996	Las Animas	Vacant Housing Units	1143
1996	Lincoln	Average Household Size	2.2
1996	Lincoln	Births	61
1996	Lincoln	Deaths	67
1996	Lincoln	Group Quarters Population (July)	1973
1996	Lincoln	Household Population (July)	4139
1996	Lincoln	Housing Vacancy Rate	18
1996	Lincoln	July Population	6112
1996	Lincoln	Natural Population Increase	-6
1996	Lincoln	Net Building Permits	16
1996	Lincoln	Net Migration	135
1996	Lincoln	Population (U.S. Census Bureau)	5632
1996	Lincoln	Total Households	1884
1996	Lincoln	Total Housing Units	2297
1996	Lincoln	Vacant Housing Units	413
1996	Logan	Average Household Size	2.6
1996	Logan	Births	244
1996	Logan	Deaths	174
1996	Logan	Group Quarters Population (July)	538
1996	Logan	Household Population (July)	19123
1996	Logan	Housing Vacancy Rate	7.6
1996	Logan	July Population	19661
1996	Logan	Natural Population Increase	70
1996	Logan	Net Building Permits	101
1996	Logan	Net Migration	223
1996	Logan	Population (U.S. Census Bureau)	18037
1996	Logan	Total Households	7366
1996	Logan	Total Housing Units	7972
1996	Logan	Vacant Housing Units	606
1996	Mesa	Average Household Size	2.52
1996	Mesa	Births	1342
1996	Mesa	Deaths	1000
1996	Mesa	Group Quarters Population (July)	2806
1996	Mesa	Household Population (July)	104723
1996	Mesa	Housing Vacancy Rate	3.3
1996	Mesa	July Population	107529
1996	Mesa	Natural Population Increase	342
1996	Mesa	Net Building Permits	1044
1996	Mesa	Net Migration	1781
1996	Mesa	Population (U.S. Census Bureau)	108238
1996	Mesa	Total Households	41627
1996	Mesa	Total Housing Units	43037
1996	Mesa	Vacant Housing Units	1410
1996	Mineral	Average Household Size	2.46
1996	Mineral	Births	8
1996	Mineral	Deaths	7
1996	Mineral	Group Quarters Population (July)	0
1996	Mineral	Household Population (July)	724
1996	Mineral	Housing Vacancy Rate	77.3
1996	Mineral	July Population	724
1996	Mineral	Natural Population Increase	1
1996	Mineral	Net Building Permits	31
1996	Mineral	Net Migration	49
1996	Mineral	Population (U.S. Census Bureau)	672
1996	Mineral	Total Households	294
1996	Mineral	Total Housing Units	1294
1996	Mineral	Vacant Housing Units	1000
1996	Moffat	Average Household Size	2.71
1996	Moffat	Births	141
1996	Moffat	Deaths	66
1996	Moffat	Group Quarters Population (July)	137
1996	Moffat	Household Population (July)	12154
1996	Moffat	Housing Vacancy Rate	16.5
1996	Moffat	July Population	12291
1996	Moffat	Natural Population Increase	75
1996	Moffat	Net Building Permits	42
1996	Moffat	Net Migration	29
1996	Moffat	Population (U.S. Census Bureau)	12071
1996	Moffat	Total Households	4484
1996	Moffat	Total Housing Units	5371
1996	Moffat	Vacant Housing Units	887
1996	Montezuma	Average Household Size	2.78
1996	Montezuma	Births	341
1996	Montezuma	Deaths	205
1996	Montezuma	Group Quarters Population (July)	175
1996	Montezuma	Household Population (July)	22475
1996	Montezuma	Housing Vacancy Rate	11.3
1996	Montezuma	July Population	22650
1996	Montezuma	Natural Population Increase	136
1996	Montezuma	Net Building Permits	70
1996	Montezuma	Net Migration	355
1996	Montezuma	Population (U.S. Census Bureau)	21969
1996	Montezuma	Total Households	8090
1996	Montezuma	Total Housing Units	9125
1996	Montezuma	Vacant Housing Units	1035
1996	Montrose	Average Household Size	2.62
1996	Montrose	Births	434
1996	Montrose	Deaths	278
1996	Montrose	Group Quarters Population (July)	517
1996	Montrose	Household Population (July)	29970
1996	Montrose	Housing Vacancy Rate	1.7
1996	Montrose	July Population	30487
1996	Montrose	Natural Population Increase	156
1996	Montrose	Net Building Permits	224
1996	Montrose	Net Migration	661
1996	Montrose	Population (U.S. Census Bureau)	29483
1996	Montrose	Total Households	11446
1996	Montrose	Total Housing Units	11645
1996	Montrose	Vacant Housing Units	199
1996	Morgan	Average Household Size	2.68
1996	Morgan	Births	451
1996	Morgan	Deaths	214
1996	Morgan	Group Quarters Population (July)	542
1996	Morgan	Household Population (July)	25500
1996	Morgan	Housing Vacancy Rate	1.8
1996	Morgan	July Population	26042
1996	Morgan	Natural Population Increase	237
1996	Morgan	Net Building Permits	104
1996	Morgan	Net Migration	443
1996	Morgan	Population (U.S. Census Bureau)	24599
1996	Morgan	Total Households	9516
1996	Morgan	Total Housing Units	9690
1996	Morgan	Vacant Housing Units	174
1996	Otero	Average Household Size	2.52
1996	Otero	Births	271
1996	Otero	Deaths	252
1996	Otero	Group Quarters Population (July)	611
1996	Otero	Household Population (July)	20136
1996	Otero	Housing Vacancy Rate	9.5
1996	Otero	July Population	20747
1996	Otero	Natural Population Increase	19
1996	Otero	Net Building Permits	29
1996	Otero	Net Migration	33
1996	Otero	Population (U.S. Census Bureau)	20752
1996	Otero	Total Households	7984
1996	Otero	Total Housing Units	8826
1996	Otero	Vacant Housing Units	842
1996	Ouray	Average Household Size	2.47
1996	Ouray	Births	25
1996	Ouray	Deaths	17
1996	Ouray	Group Quarters Population (July)	4
1996	Ouray	Household Population (July)	3248
1996	Ouray	Housing Vacancy Rate	30.7
1996	Ouray	July Population	3252
1996	Ouray	Natural Population Increase	8
1996	Ouray	Net Building Permits	108
1996	Ouray	Net Migration	159
1996	Ouray	Population (U.S. Census Bureau)	3124
1996	Ouray	Total Households	1316
1996	Ouray	Total Housing Units	1898
1996	Ouray	Vacant Housing Units	582
1996	Park	Average Household Size	2.56
1996	Park	Births	135
1996	Park	Deaths	42
1996	Park	Group Quarters Population (July)	0
1996	Park	Household Population (July)	11377
1996	Park	Housing Vacancy Rate	49.6
1996	Park	July Population	11377
1996	Park	Natural Population Increase	93
1996	Park	Net Building Permits	468
1996	Park	Net Migration	707
1996	Park	Population (U.S. Census Bureau)	11684
1996	Park	Total Households	4448
1996	Park	Total Housing Units	8826
1996	Park	Vacant Housing Units	4378
1996	Phillips	Average Household Size	2.38
